StudentID,Skills,Interests,Availability,PreferredProjectType,SuggestedProject
S0038,"NodeJS, TensorFlow, AI, Django",Automation,Full-time,Research,Smart Attendance System
S0039,"NodeJS, Django",Automation,Full-time,Creative,Chatbot for Students
S0040,"Java, Figma, AI",Healthcare,Full-time,Research,Automated Resume Screener
S0041,"Python, React, JavaScript, Figma",Cybersecurity,Full-time,Research,AI-powered Diet Planner
S0042,"Figma, Django, C++, JavaScript",Cybersecurity,Part-time,Creative,Finance Tracker Web App
S0043,"Django, Python, ML, React",Healthcare,Full-time,Research,Finance Tracker Web App
S0044,"C++, React, TensorFlow, Flask",Healthcare,Full-time,Creative,Automated Resume Screener
S0045,"TensorFlow, C++, Java, ML",Automation,Part-time,Creative,Mental Health UI Toolkit
S0046,"Keras, NodeJS, AI",Social Impact,Full-time,Technical,Mental Health UI Toolkit
S0047,"Figma, JavaScript",Social Impact,Full-time,Technical,AI-powered Diet Planner
S0048,"Keras, Python",Climate,Full-time,Creative,Voice-based Email Client
S0049,"Keras, AI",Education,Part-time,Technical,E-learning Gamification Platform
S0050,"Keras, Django, Figma",Education,Part-time,Creative,Blockchain Voting System
S0051,"Python, Keras, TensorFlow, React",Education,Full-time,Technical,E-learning Gamification Platform
S0052,"Figma, Django, JavaScript, Keras",Healthcare,Part-time,Creative,Chatbot for Students
S0053,"NodeJS, Keras, Java, ML",Social Impact,Part-time,Technical,AI-powered Diet Planner
S0054,"Keras, Django",Social Impact,Full-time,Creative,Voice-based Email Client
S0055,"NodeJS, Java, AI",Cybersecurity,Part-time,Creative,AI-powered Diet Planner
S0056,"Keras, AI",Education,Full-time,Technical,AI-powered Diet Planner
S0057,"C++, Java, Keras",Healthcare,Full-time,Technical,Blockchain Voting System
S0058,"NodeJS, Figma, AI",Finance,Part-time,Technical,Blockchain Voting System
S0059,"AI, React, NodeJS",Finance,Full-time,Technical,Automated Resume Screener
S0060,"TensorFlow, React, AI",Finance,Full-time,Research,Blockchain Voting System
S0061,"Flask, Figma",Education,Part-time,Creative,AI-powered Diet Planner
S0062,"React, Python",Climate,Full-time,Research,Blockchain Voting System
S0063,"Java, Keras, AI, Figma",Climate,Full-time,Creative,Voice-based Email Client
S0064,"JavaScript, ML, Java, C++",Automation,Full-time,Technical,Automated Resume Screener
S0065,"Flask, NodeJS",Finance,Full-time,Research,Automated Resume Screener
S0066,"Python, TensorFlow, Django, AI",Climate,Full-time,Creative,Voice-based Email Client
S0067,"JavaScript, C++",Education,Part-time,Creative,Voice-based Email Client
S0068,"Flask, NodeJS, TensorFlow, Keras",Social Impact,Full-time,Creative,Automated Resume Screener
S0069,"React, C++, ML",Education,Full-time,Creative,Chatbot for Students
S0070,"Keras, NodeJS, AI, JavaScript",Climate,Full-time,Technical,Smart Attendance System
S0071,"TensorFlow, Django, JavaScript",Finance,Full-time,Technical,AI-powered Diet Planner
S0072,"Keras, NodeJS, JavaScript, C++",Education,Part-time,Technical,Voice-based Email Client
S0073,"React, Java, Python, Figma",Social Impact,Full-time,Technical,E-learning Gamification Platform
S0074,"Flask, ML, NodeJS",Healthcare,Part-time,Creative,E-learning Gamification Platform
S0075,"JavaScript, TensorFlow, C++",Automation,Part-time,Technical,Chatbot for Students
S0076,"Keras, TensorFlow, C++, JavaScript",Social Impact,Full-time,Technical,E-learning Gamification Platform
S0077,"React, Python, TensorFlow, Django",Automation,Part-time,Research,Automated Resume Screener
S0078,"TensorFlow, ML",Finance,Part-time,Creative,Automated Resume Screener
S0079,"Keras, Flask, Java",Finance,Full-time,Research,AI-powered Diet Planner
S0080,"AI, JavaScript",Healthcare,Part-time,Research,Voice-based Email Client
S0081,"Python, ML",Climate,Part-time,Creative,Voice-based Email Client
S0082,"ML, Python, Java, Django",Cybersecurity,Full-time,Creative,Finance Tracker Web App
S0083,"Keras, Flask, Django",Finance,Part-time,Creative,Smart Attendance System
S0084,"Figma, Python",Healthcare,Part-time,Research,Automated Resume Screener
S0085,"Django, Python",Social Impact,Full-time,Research,Voice-based Email Client
S0086,"Python, React, AI",Social Impact,Part-time,Technical,Chatbot for Students
S0087,"AI, TensorFlow, Figma, JavaScript",Cybersecurity,Full-time,Research,Voice-based Email Client
S0088,"Keras, AI",Cybersecurity,Part-time,Technical,Chatbot for Students
S0089,"React, ML, Figma, Keras",Education,Full-time,Creative,Automated Resume Screener
S0090,"Java, Python",Social Impact,Part-time,Research,Voice-based Email Client
S0091,"JavaScript, TensorFlow, ML, AI",Finance,Part-time,Research,E-learning Gamification Platform
S0092,"React, Django",Climate,Full-time,Research,Finance Tracker Web App
S0093,"Python, Flask",Cybersecurity,Full-time,Creative,Blockchain Voting System
S0094,"Flask, Django, Python, Java",Climate,Full-time,Creative,Chatbot for Students
S0095,"NodeJS, Django",Education,Part-time,Technical,E-learning Gamification Platform
S0096,"ML, Keras",Climate,Full-time,Research,Finance Tracker Web App
S0097,"React, TensorFlow",Climate,Full-time,Research,Smart Attendance System
S0098,"React, Java, AI, Flask",Finance,Full-time,Creative,E-learning Gamification Platform
S0099,"Figma, ML",Social Impact,Full-time,Technical,Finance Tracker Web App
S0100,"JavaScript, React",Education,Part-time,Creative,Finance Tracker Web App
S0101,"TensorFlow, Flask, Python, AI",Finance,Full-time,Technical,AI-powered Diet Planner
S0102,"Figma, Java, Django, ML",Climate,Full-time,Creative,Automated Resume Screener
S0103,"Flask, Django",Finance,Part-time,Research,Automated Resume Screener
S0104,"TensorFlow, Python, ML, Flask",Finance,Full-time,Technical,Finance Tracker Web App
S0105,"JavaScript, NodeJS, Django",Finance,Part-time,Technical,Chatbot for Students
S0106,"NodeJS, Figma",Cybersecurity,Part-time,Technical,Mental Health UI Toolkit
S0107,"Django, Java, Python",Healthcare,Part-time,Technical,Voice-based Email Client
S0108,"Figma, AI, Java, NodeJS",Finance,Part-time,Creative,Voice-based Email Client
S0109,"C++, Java, Python",Healthcare,Full-time,Technical,Automated Resume Screener
S0110,"NodeJS, TensorFlow, Django",Cybersecurity,Part-time,Creative,Mental Health UI Toolkit
S0111,"ML, NodeJS, TensorFlow",Finance,Full-time,Creative,Automated Resume Screener
S0112,"Keras, AI, Flask, Python",Climate,Part-time,Research,Finance Tracker Web App
S0113,"Python, Figma, NodeJS",Social Impact,Full-time,Technical,Chatbot for Students
S0114,"ML, Django",Education,Part-time,Creative,Voice-based Email Client
S0115,"C++, Flask, TensorFlow",Education,Part-time,Technical,E-learning Gamification Platform
S0116,"JavaScript, Python",Finance,Full-time,Technical,Automated Resume Screener
S0117,"Keras, React, ML",Healthcare,Part-time,Creative,Automated Resume Screener
S0118,"JavaScript, ML",Social Impact,Part-time,Research,Voice-based Email Client
S0119,"Django, Figma, ML",Social Impact,Part-time,Research,Chatbot for Students
S0120,"TensorFlow, Keras, Flask, ML",Finance,Full-time,Technical,Smart Attendance System
S0121,"AI, Java",Climate,Full-time,Technical,Smart Attendance System
S0122,"Django, ML, Python, JavaScript",Cybersecurity,Full-time,Creative,Mental Health UI Toolkit
S0123,"TensorFlow, Flask",Healthcare,Part-time,Creative,Blockchain Voting System
S0124,"ML, Flask",Social Impact,Full-time,Technical,E-learning Gamification Platform
S0125,"Flask, Java, React",Automation,Full-time,Creative,Chatbot for Students
S0126,"Figma, Django, JavaScript, AI",Climate,Part-time,Creative,Smart Attendance System
S0127,"JavaScript, TensorFlow",Climate,Part-time,Research,E-learning Gamification Platform
S0128,"C++, Keras",Social Impact,Full-time,Creative,Blockchain Voting System
S0129,"C++, Keras, Figma, ML",Automation,Full-time,Research,Voice-based Email Client
S0130,"AI, Python",Climate,Full-time,Technical,Chatbot for Students
S0131,"Figma, TensorFlow, Django",Automation,Full-time,Creative,Blockchain Voting System
S0132,"Java, Figma",Cybersecurity,Part-time,Creative,Chatbot for Students
S0133,"TensorFlow, AI, JavaScript",Social Impact,Part-time,Creative,Voice-based Email Client
S0134,"Figma, JavaScript",Finance,Full-time,Research,E-learning Gamification Platform
S0135,"Python, NodeJS",Healthcare,Part-time,Technical,E-learning Gamification Platform
S0136,"C++, Keras, Flask",Automation,Full-time,Creative,E-learning Gamification Platform
S0137,"Django, AI",Finance,Full-time,Technical,Chatbot for Students
S0138,"JavaScript, C++, AI, Python",Education,Part-time,Creative,AI-powered Diet Planner
S0139,"Django, AI, NodeJS",Finance,Part-time,Technical,Blockchain Voting System
S0140,"TensorFlow, Django, Flask, AI",Finance,Full-time,Creative,Blockchain Voting System
S0141,"ML, Python, Keras, Figma",Climate,Full-time,Technical,Blockchain Voting System
S0142,"Java, Python, Keras",Automation,Part-time,Technical,Smart Attendance System
S0143,"NodeJS, TensorFlow, Python, C++",Healthcare,Full-time,Creative,AI-powered Diet Planner
S0144,"NodeJS, Flask, Java, ML",Automation,Part-time,Creative,Voice-based Email Client
S0145,"C++, Flask, Figma",Cybersecurity,Full-time,Creative,Voice-based Email Client
S0146,"Flask, Keras, NodeJS, TensorFlow",Social Impact,Full-time,Technical,Finance Tracker Web App
S0147,"Figma, Django",Cybersecurity,Part-time,Creative,AI-powered Diet Planner
S0148,"Java, Keras, Flask, C++",Automation,Part-time,Research,Finance Tracker Web App
S0149,"TensorFlow, Keras, AI, Java",Healthcare,Full-time,Creative,Chatbot for Students
S0150,"Flask, Python, Django",Social Impact,Full-time,Creative,Finance Tracker Web App
S0151,"Flask, NodeJS, Figma, Python",Climate,Full-time,Research,Blockchain Voting System
S0152,"JavaScript, Python, Java, AI",Automation,Part-time,Research,Finance Tracker Web App
S0153,"Figma, Flask, JavaScript, Keras",Education,Part-time,Technical,Automated Resume Screener
S0154,"Figma, AI, Flask",Automation,Part-time,Technical,E-learning Gamification Platform
S0155,"Keras, ML",Healthcare,Part-time,Research,Smart Attendance System
S0156,"ML, React",Cybersecurity,Full-time,Research,Finance Tracker Web App
S0157,"TensorFlow, Django",Social Impact,Part-time,Creative,E-learning Gamification Platform
S0158,"Python, JavaScript",Healthcare,Full-time,Technical,Smart Attendance System
S0159,"JavaScript, TensorFlow",Cybersecurity,Part-time,Research,Automated Resume Screener
S0160,"Django, JavaScript, ML, Java",Social Impact,Part-time,Research,Finance Tracker Web App
S0161,"Keras, React, Figma, JavaScript",Education,Full-time,Technical,Smart Attendance System
S0162,"AI, Python",Cybersecurity,Full-time,Technical,Automated Resume Screener
S0163,"JavaScript, TensorFlow, C++, React",Healthcare,Part-time,Creative,E-learning Gamification Platform
S0164,"Java, Django, Flask, AI",Healthcare,Full-time,Research,AI-powered Diet Planner
S0165,"Keras, C++, Django, Java",Cybersecurity,Part-time,Technical,AI-powered Diet Planner
S0166,"Django, JavaScript, Figma",Education,Part-time,Research,Blockchain Voting System
S0167,"Keras, Flask",Cybersecurity,Full-time,Technical,Automated Resume Screener
S0168,"React, Figma, AI, Keras",Social Impact,Full-time,Technical,Blockchain Voting System
S0169,"Django, Python, TensorFlow",Climate,Part-time,Creative,Automated Resume Screener
S0170,"JavaScript, TensorFlow, NodeJS",Finance,Part-time,Research,Smart Attendance System
S0171,"Java, Figma",Education,Full-time,Technical,Automated Resume Screener
S0172,"Java, Figma, React",Healthcare,Part-time,Technical,Automated Resume Screener
S0173,"Java, TensorFlow, Python",Cybersecurity,Part-time,Technical,E-learning Gamification Platform
S0174,"Python, Flask, AI, Figma",Education,Part-time,Research,E-learning Gamification Platform
S0175,"Java, AI, Figma",Healthcare,Part-time,Technical,Voice-based Email Client
S0176,"AI, Keras, React",Social Impact,Full-time,Technical,Mental Health UI Toolkit
S0177,"Python, C++",Cybersecurity,Part-time,Research,Automated Resume Screener
S0178,"C++, NodeJS, TensorFlow, Keras",Social Impact,Part-time,Creative,Voice-based Email Client
S0179,"Keras, TensorFlow, Flask",Automation,Part-time,Research,Automated Resume Screener
S0180,"JavaScript, AI",Automation,Part-time,Research,E-learning Gamification Platform
S0181,"ML, Flask, React, Keras",Climate,Full-time,Technical,Voice-based Email Client
S0182,"TensorFlow, NodeJS, JavaScript",Automation,Full-time,Technical,Smart Attendance System
S0183,"NodeJS, Java, C++, ML",Education,Part-time,Creative,Voice-based Email Client
S0184,"NodeJS, Python, Keras",Climate,Full-time,Creative,Chatbot for Students
S0185,"Django, Python",Climate,Full-time,Creative,Voice-based Email Client
S0186,"NodeJS, Java, JavaScript",Climate,Part-time,Technical,Smart Attendance System
S0187,"Django, React, TensorFlow",Social Impact,Part-time,Technical,Voice-based Email Client
S0188,"React, Django, Java",Automation,Part-time,Research,AI-powered Diet Planner
S0189,"NodeJS, AI, Django",Climate,Full-time,Technical,Blockchain Voting System
S0190,"NodeJS, Flask, JavaScript",Cybersecurity,Full-time,Research,Mental Health UI Toolkit
S0191,"Java, ML",Automation,Full-time,Creative,E-learning Gamification Platform
S0192,"Figma, NodeJS, C++",Cybersecurity,Part-time,Technical,Chatbot for Students
S0193,"C++, Python",Education,Part-time,Creative,Finance Tracker Web App
S0194,"TensorFlow, ML",Healthcare,Full-time,Technical,Blockchain Voting System
S0195,"Python, Flask",Cybersecurity,Part-time,Technical,Voice-based Email Client
S0196,"JavaScript, Java",Finance,Part-time,Research,Mental Health UI Toolkit
S0197,"AI, C++",Healthcare,Part-time,Technical,Automated Resume Screener
S0198,"Flask, JavaScript, TensorFlow",Social Impact,Full-time,Research,Automated Resume Screener
S0199,"TensorFlow, React, Figma, Python",Automation,Full-time,Technical,AI-powered Diet Planner
S0200,"NodeJS, Django, ML",Automation,Part-time,Creative,AI-powered Diet Planner
S0201,"NodeJS, TensorFlow",Cybersecurity,Full-time,Creative,Chatbot for Students
S0202,"JavaScript, ML, NodeJS",Healthcare,Part-time,Research,Blockchain Voting System
S0203,"TensorFlow, Django, Keras, Figma",Cybersecurity,Full-time,Creative,Smart Attendance System
S0204,"ML, Python",Automation,Part-time,Technical,E-learning Gamification Platform
S0205,"Django, JavaScript, TensorFlow",Automation,Part-time,Technical,AI-powered Diet Planner
S0206,"TensorFlow, AI, Flask, NodeJS",Automation,Part-time,Technical,E-learning Gamification Platform
S0207,"AI, Java, TensorFlow",Cybersecurity,Full-time,Research,Mental Health UI Toolkit
S0208,"AI, NodeJS, Java",Finance,Part-time,Technical,Mental Health UI Toolkit
S0209,"TensorFlow, Flask, Java, ML",Social Impact,Full-time,Research,Blockchain Voting System
S0210,"JavaScript, C++",Finance,Full-time,Research,Finance Tracker Web App
S0211,"NodeJS, C++, Django, Java",Automation,Full-time,Creative,AI-powered Diet Planner
S0212,"Python, ML",Automation,Part-time,Research,Chatbot for Students
S0213,"Python, C++",Social Impact,Part-time,Research,Automated Resume Screener
S0214,"Flask, AI, Django",Finance,Full-time,Creative,Finance Tracker Web App
S0215,"Python, Java, AI",Education,Full-time,Creative,Automated Resume Screener
S0216,"Flask, Figma, AI, C++",Healthcare,Full-time,Research,AI-powered Diet Planner
S0217,"Keras, C++, Python, TensorFlow",Social Impact,Part-time,Research,Mental Health UI Toolkit
S0218,"Python, AI",Social Impact,Full-time,Technical,Automated Resume Screener
S0219,"Keras, React",Climate,Part-time,Research,Blockchain Voting System
S0220,"Keras, AI, Java",Climate,Part-time,Research,Voice-based Email Client
S0221,"Flask, JavaScript",Social Impact,Part-time,Technical,E-learning Gamification Platform
S0222,"NodeJS, AI, C++, Django",Automation,Part-time,Technical,AI-powered Diet Planner
S0223,"C++, Keras",Social Impact,Part-time,Research,AI-powered Diet Planner
S0224,"Django, Python, ML, NodeJS",Healthcare,Full-time,Research,Voice-based Email Client
S0225,"AI, Flask, Java",Social Impact,Part-time,Creative,Voice-based Email Client
S0226,"Java, Keras, C++",Education,Full-time,Creative,Finance Tracker Web App
S0227,"Flask, Python",Automation,Part-time,Research,Voice-based Email Client
S0228,"Keras, AI, Flask, React",Climate,Full-time,Technical,Chatbot for Students
S0229,"NodeJS, TensorFlow, Flask, AI",Healthcare,Full-time,Technical,Blockchain Voting System
S0230,"C++, Keras, JavaScript",Social Impact,Full-time,Technical,AI-powered Diet Planner
S0231,"Figma, C++, AI",Cybersecurity,Full-time,Technical,E-learning Gamification Platform
S0232,"ML, Django",Automation,Full-time,Technical,Blockchain Voting System
S0233,"ML, JavaScript",Social Impact,Part-time,Creative,Automated Resume Screener
S0234,"TensorFlow, Java",Cybersecurity,Part-time,Research,AI-powered Diet Planner
S0235,"C++, TensorFlow",Finance,Part-time,Creative,Voice-based Email Client
S0236,"Python, Java, JavaScript",Automation,Full-time,Creative,Mental Health UI Toolkit
S0237,"TensorFlow, C++, Flask, Python",Climate,Full-time,Technical,Smart Attendance System
S0238,"Java, NodeJS, C++",Social Impact,Full-time,Creative,AI-powered Diet Planner
S0239,"Flask, C++",Social Impact,Full-time,Technical,Automated Resume Screener
S0240,"React, Python, Flask",Social Impact,Full-time,Technical,Voice-based Email Client
S0241,"Flask, Django",Healthcare,Full-time,Research,Voice-based Email Client
S0242,"Java, React",Finance,Part-time,Creative,Chatbot for Students
S0243,"Flask, C++, TensorFlow",Social Impact,Part-time,Technical,Voice-based Email Client
S0244,"Figma, Flask, NodeJS, C++",Healthcare,Full-time,Research,Mental Health UI Toolkit
S0245,"Figma, Python, ML",Climate,Part-time,Creative,E-learning Gamification Platform
S0246,"Django, Flask",Finance,Part-time,Creative,Finance Tracker Web App
S0247,"Java, Python, ML",Social Impact,Full-time,Creative,Smart Attendance System
S0248,"Java, Django, Flask",Education,Full-time,Research,Mental Health UI Toolkit
S0249,"Java, Django, React",Cybersecurity,Part-time,Technical,Finance Tracker Web App
S0250,"Flask, Figma",Automation,Part-time,Technical,Automated Resume Screener
S0251,"Figma, AI, TensorFlow",Social Impact,Part-time,Research,Smart Attendance System
S0252,"Keras, Java",Automation,Full-time,Research,Mental Health UI Toolkit
S0253,"AI, Flask, JavaScript, Python",Cybersecurity,Part-time,Creative,E-learning Gamification Platform
S0254,"Python, Keras, JavaScript, Java",Cybersecurity,Part-time,Technical,E-learning Gamification Platform
S0255,"TensorFlow, NodeJS, Keras, Java",Education,Part-time,Technical,Chatbot for Students
S0256,"NodeJS, TensorFlow, Keras",Automation,Part-time,Creative,Automated Resume Screener
S0257,"ML, Figma, Flask",Climate,Full-time,Technical,Smart Attendance System
S0258,"Java, TensorFlow, ML, Flask",Finance,Full-time,Research,E-learning Gamification Platform
S0259,"Flask, Java, Keras, TensorFlow",Automation,Part-time,Technical,AI-powered Diet Planner
S0260,"TensorFlow, C++, React",Healthcare,Full-time,Research,Smart Attendance System
S0261,"TensorFlow, Keras",Education,Full-time,Research,Automated Resume Screener
S0262,"AI, Python",Healthcare,Part-time,Technical,Blockchain Voting System
S0263,"Figma, AI",Social Impact,Full-time,Research,Voice-based Email Client
S0264,"Figma, TensorFlow, React, ML",Finance,Full-time,Creative,Mental Health UI Toolkit
S0265,"C++, AI, Django, JavaScript",Healthcare,Part-time,Technical,Mental Health UI Toolkit
S0266,"Figma, Flask, C++",Cybersecurity,Part-time,Technical,Mental Health UI Toolkit
S0267,"TensorFlow, NodeJS",Healthcare,Part-time,Research,Smart Attendance System
S0268,"Python, Figma, JavaScript, Django",Social Impact,Part-time,Technical,Blockchain Voting System
S0269,"C++, Python, ML, Keras",Automation,Part-time,Technical,AI-powered Diet Planner
S0270,"ML, Keras, JavaScript, Django",Climate,Full-time,Creative,Mental Health UI Toolkit
S0271,"Java, AI, Django",Finance,Full-time,Creative,Automated Resume Screener
S0272,"TensorFlow, Flask, JavaScript, Django",Healthcare,Part-time,Creative,Finance Tracker Web App
S0273,"JavaScript, Python",Automation,Full-time,Creative,Voice-based Email Client
S0274,"Python, Java, C++, Keras",Finance,Full-time,Creative,Automated Resume Screener
S0275,"Figma, Python, JavaScript",Finance,Full-time,Research,Mental Health UI Toolkit
S0276,"Java, NodeJS, JavaScript, Figma",Cybersecurity,Full-time,Creative,Chatbot for Students
S0277,"Python, Keras, JavaScript",Automation,Full-time,Technical,E-learning Gamification Platform
S0278,"Flask, AI, C++",Climate,Part-time,Creative,AI-powered Diet Planner
S0279,"Flask, React, ML, NodeJS",Healthcare,Part-time,Technical,E-learning Gamification Platform
S0280,"TensorFlow, NodeJS, AI, JavaScript",Education,Part-time,Technical,E-learning Gamification Platform
S0281,"ML, C++",Automation,Part-time,Creative,Voice-based Email Client
S0282,"TensorFlow, Flask, Django",Education,Full-time,Research,Finance Tracker Web App
S0283,"React, AI, JavaScript, TensorFlow",Social Impact,Full-time,Research,Blockchain Voting System
S0284,"C++, Flask, ML, React",Social Impact,Full-time,Technical,Smart Attendance System
S0285,"React, Java, C++",Healthcare,Part-time,Creative,Voice-based Email Client
S0286,"Keras, TensorFlow, Python",Automation,Full-time,Research,AI-powered Diet Planner
S0287,"Python, React",Education,Full-time,Research,Voice-based Email Client
S0288,"JavaScript, AI",Healthcare,Part-time,Technical,Voice-based Email Client
S0289,"Java, NodeJS, C++, Keras",Automation,Full-time,Research,Mental Health UI Toolkit
S0290,"C++, React, Keras, TensorFlow",Finance,Part-time,Technical,AI-powered Diet Planner
S0291,"TensorFlow, Python",Social Impact,Full-time,Research,Blockchain Voting System
S0292,"Keras, NodeJS, ML",Social Impact,Full-time,Creative,Finance Tracker Web App
S0293,"Flask, Keras, C++",Automation,Full-time,Research,Mental Health UI Toolkit
S0294,"TensorFlow, Figma",Finance,Part-time,Creative,Voice-based Email Client
S0295,"Keras, Java, C++, Django",Education,Part-time,Technical,AI-powered Diet Planner
S0296,"C++, Keras, NodeJS, Flask",Social Impact,Part-time,Research,Chatbot for Students
S0297,"React, Flask, Java, Django",Education,Full-time,Research,Chatbot for Students
S0298,"NodeJS, Flask",Finance,Full-time,Creative,E-learning Gamification Platform
S0299,"Java, Django",Climate,Full-time,Research,Smart Attendance System
S0300,"Java, C++, JavaScript, ML",Education,Part-time,Research,Automated Resume Screener
S0301,"AI, ML, Flask",Education,Full-time,Research,Blockchain Voting System
S0302,"NodeJS, TensorFlow",Cybersecurity,Full-time,Creative,AI-powered Diet Planner
S0303,"C++, React, NodeJS, ML",Finance,Part-time,Research,Mental Health UI Toolkit
S0304,"Python, AI, TensorFlow, Figma",Climate,Part-time,Research,Voice-based Email Client
S0305,"TensorFlow, Django, NodeJS",Finance,Part-time,Creative,Smart Attendance System
S0306,"C++, NodeJS, TensorFlow, React",Cybersecurity,Part-time,Research,AI-powered Diet Planner
S0307,"Figma, JavaScript, C++",Automation,Full-time,Creative,Smart Attendance System
S0308,"Python, React",Automation,Part-time,Technical,AI-powered Diet Planner
S0309,"JavaScript, AI, React",Education,Full-time,Research,Automated Resume Screener
S0310,"Django, AI, React",Healthcare,Part-time,Technical,AI-powered Diet Planner
S0311,"JavaScript, NodeJS, TensorFlow",Social Impact,Full-time,Creative,Chatbot for Students
S0312,"C++, React, Figma, Python",Social Impact,Full-time,Research,Chatbot for Students
S0313,"AI, TensorFlow, C++",Cybersecurity,Part-time,Research,Smart Attendance System
S0314,"Keras, JavaScript, C++",Climate,Full-time,Research,Smart Attendance System
S0315,"Django, Figma, NodeJS, C++",Social Impact,Full-time,Technical,E-learning Gamification Platform
S0316,"Django, JavaScript, React",Social Impact,Full-time,Research,AI-powered Diet Planner
S0317,"Django, Figma, NodeJS, TensorFlow",Healthcare,Part-time,Creative,E-learning Gamification Platform
S0318,"ML, Flask, AI",Climate,Full-time,Technical,AI-powered Diet Planner
S0319,"Keras, AI, ML",Education,Part-time,Technical,Smart Attendance System
S0320,"Flask, NodeJS, TensorFlow",Social Impact,Part-time,Technical,Automated Resume Screener
S0321,"React, JavaScript",Finance,Full-time,Technical,Finance Tracker Web App
S0322,"C++, JavaScript",Cybersecurity,Full-time,Technical,Blockchain Voting System
S0323,"Figma, ML, JavaScript, Flask",Finance,Full-time,Technical,AI-powered Diet Planner
S0324,"TensorFlow, AI, Python",Finance,Part-time,Creative,Finance Tracker Web App
S0325,"JavaScript, React, Keras, Java",Social Impact,Part-time,Technical,AI-powered Diet Planner
S0326,"Python, AI, C++, Django",Automation,Part-time,Technical,Blockchain Voting System
S0327,"C++, NodeJS",Social Impact,Full-time,Research,Blockchain Voting System
S0328,"Figma, TensorFlow",Healthcare,Part-time,Research,Blockchain Voting System
S0329,"JavaScript, Java",Automation,Part-time,Creative,AI-powered Diet Planner
S0330,"NodeJS, JavaScript, C++",Cybersecurity,Full-time,Technical,Finance Tracker Web App
S0331,"NodeJS, JavaScript, Java",Education,Full-time,Research,Mental Health UI Toolkit
S0332,"AI, Python, NodeJS, Flask",Automation,Full-time,Research,Voice-based Email Client
S0333,"TensorFlow, Java, C++",Social Impact,Part-time,Technical,E-learning Gamification Platform
S0334,"TensorFlow, JavaScript",Automation,Part-time,Research,Voice-based Email Client
S0335,"ML, React",Healthcare,Full-time,Research,Voice-based Email Client
S0336,"Figma, Flask, Keras, NodeJS",Finance,Full-time,Research,Automated Resume Screener
